compensation_id,employee_id,effective_date,monthly_income,salary_band,percent_hike,bonus_amount,stock_option_level
112,35,2016-12-31,37723,High,11.31342099,11200,2
113,36,2015-01-01,48225,Low,12.35941762,20603,3
114,36,2016-01-01,52024,High,7.878002554,15153,0
115,36,2016-12-31,59225,Low,13.84315321,25139,3
116,37,2015-01-01,46178,Medium,6.236623669,12573,2
117,37,2016-01-01,53082,High,14.95099686,22080,0
118,38,2015-01-01,68153,High,12.3876601,19745,2
119,38,2016-01-01,78050,Low,14.52188306,47679,2
120,38,2016-12-31,86553,Medium,10.89479785,42824,0
121,38,2017-12-31,98936,High,14.30788353,47988,3
122,39,2015-01-01,52978,High,6.198811728,45855,1
123,39,2016-01-01,59502,Low,12.31474682,20360,3
124,39,2016-12-31,64529,Low,8.448810795,20256,0
125,39,2017-12-31,71438,Medium,10.70806198,35814,3
126,40,2015-01-01,80782,High,13.32485832,5998,0
127,40,2016-01-01,89910,Low,11.29991406,31208,3
128,40,2016-12-31,97463,High,8.401410233,44092,3
129,41,2015-01-01,83392,Medium,7.418741861,48840,3
130,41,2016-01-01,92612,High,11.05717445,46394,0
131,41,2016-12-31,103403,Medium,11.65203358,42887,0
132,41,2017-12-31,113348,High,9.617946351,31192,0
133,42,2015-01-01,27754,Medium,12.30271831,25938,1
134,42,2016-01-01,31235,Medium,12.54335127,27838,0
135,42,2016-12-31,33702,High,7.900042438,38121,2
136,43,2015-01-01,39038,Medium,5.046968455,18447,0
137,43,2016-01-01,42807,Medium,9.656858639,7563,1
138,43,2016-12-31,46921,Medium,9.610585091,27094,0
139,44,2015-01-01,37833,Low,9.03213478,11894,0
140,44,2016-01-01,43198,Medium,14.18188341,33185,2
141,44,2016-12-31,46390,Low,7.389448653,20745,3
142,44,2017-12-31,52814,Medium,13.84845066,42363,3
143,45,2015-01-01,52093,Medium,7.167824867,17157,2
144,45,2016-01-01,56425,High,8.31623588,20739,1
145,45,2016-12-31,61822,High,9.56570068,20814,2
146,45,2017-12-31,68894,Medium,11.44069179,29182,1
147,46,2015-01-01,26917,High,11.99554952,31878,3
148,46,2016-01-01,28636,Low,6.387395666,21572,2
149,46,2016-12-31,32530,Medium,13.59851162,31375,1
150,47,2015-01-01,88061,Medium,13.72926554,37511,2
151,47,2016-01-01,93934,Medium,6.669456986,26945,1
152,47,2016-12-31,107537,High,14.48236569,9140,0
153,48,2015-01-01,33911,High,8.814977344,39801,3
154,48,2016-01-01,38902,High,14.72063394,42806,1
155,48,2016-12-31,44694,Medium,14.89108572,27572,0
156,48,2017-12-31,47178,Low,5.558774472,16592,0
157,49,2015-01-01,53475,Low,12.90307016,17697,0
158,49,2016-01-01,59335,High,10.95845481,34157,1
159,49,2016-12-31,67249,High,13.33898653,23969,3
160,50,2015-01-01,64693,Medium,12.78303112,17605,1
161,50,2016-01-01,68434,Low,5.78343787,44709,1
162,50,2016-12-31,72049,Low,5.283738608,31271,2
163,51,2015-01-01,25635,Low,9.075885047,45822,3
164,51,2016-01-01,28326,Medium,10.49966001,26612,2
165,51,2016-12-31,31400,Medium,10.855448,14084,0
166,52,2015-01-01,75902,Medium,12.66139992,31449,2
167,52,2016-01-01,86985,High,14.60202167,8894,1
168,53,2015-01-01,55611,Medium,8.719732554,31948,2
169,53,2016-01-01,62161,Medium,11.77872484,21020,3
170,53,2016-12-31,66792,Medium,7.451379055,26096,2
171,53,2017-12-31,73041,Low,9.357388425,42385,0
172,54,2015-01-01,38479,High,14.08906399,48177,3
173,54,2016-01-01,44051,High,14.48064893,17722,1
174,54,2016-12-31,50256,High,14.08654902,25703,1
175,54,2017-12-31,53023,Low,5.506771598,25110,3
176,55,2015-01-01,68940,Medium,5.633909734,35151,0
177,55,2016-01-01,78666,High,14.10851089,19856,1
178,55,2016-12-31,82665,Medium,5.083593157,20421,2
179,56,2015-01-01,26853,High,6.594729651,43092,3
180,56,2016-01-01,29462,Medium,9.716659964,19873,2
181,56,2016-12-31,33173,Low,12.59666312,30514,0
182,56,2017-12-31,35239,Medium,6.227986466,15859,3
183,57,2015-01-01,25985,High,10.36533077,39046,0
184,57,2016-01-01,27711,Low,6.643902378,29889,2
185,58,2015-01-01,39853,High,10.3555552,27585,0
186,58,2016-01-01,45318,Low,13.71514775,30133,2
187,58,2016-12-31,51290,Medium,13.17932022,22249,0
188,59,2015-01-01,25390,Low,12.65129866,26318,1
189,59,2016-01-01,27107,High,6.763945425,11023,2
190,59,2016-12-31,29429,Medium,8.568690671,32219,2
191,59,2017-12-31,31099,High,5.677769094,42921,0
192,60,2015-01-01,48805,Low,11.51671641,26150,1
193,60,2016-01-01,55920,Low,14.57892827,5283,0
194,60,2016-12-31,59277,High,6.004046064,42097,0
195,61,2015-01-01,66896,Low,7.216569789,17660,1
196,61,2016-01-01,74428,Low,11.26034319,35580,1
197,61,2016-12-31,85119,Medium,14.364233,7299,3
198,61,2017-12-31,96602,Low,13.4914876,36027,2
199,62,2015-01-01,51979,Medium,6.79632685,23889,3
200,62,2016-01-01,58408,High,12.3692293,22682,3
201,62,2016-12-31,61615,High,5.490965625,20462,1
202,62,2017-12-31,70571,Low,14.53646035,14592,1
203,63,2015-01-01,66958,Low,12.57181245,42473,0
204,63,2016-01-01,74615,High,11.43553429,19236,1
205,63,2016-12-31,83247,Low,11.56987517,49166,3
206,64,2015-01-01,86624,High,9.039413075,43815,2
207,64,2016-01-01,92479,Medium,6.759225933,19574,1
208,64,2016-12-31,106234,Medium,14.8742906,39974,0
209,65,2015-01-01,60305,High,5.085925541,7360,0
210,65,2016-01-01,67028,Medium,11.14942551,29483,1
211,65,2016-12-31,75260,High,12.28292082,25738,0
212,65,2017-12-31,83951,Medium,11.54850364,31021,2
213,66,2015-01-01,45367,Low,10.06135381,25027,2
214,66,2016-01-01,48360,High,6.597502036,7306,3
215,67,2015-01-01,40283,High,9.906169868,40317,0
216,67,2016-01-01,42998,Medium,6.740530477,34693,0
217,67,2016-12-31,47701,High,10.93971202,6780,3
218,68,2015-01-01,48668,Medium,12.78308178,17827,0
219,68,2016-01-01,53210,Low,9.333482362,45637,3
220,68,2016-12-31,56982,Medium,7.089043724,5510,2
221,69,2015-01-01,45794,High,7.962879034,10784,1
222,69,2016-01-01,52158,High,13.89838532,28574,1
223,69,2016-12-31,57461,High,10.1675406,15828,2
224,69,2017-12-31,64947,Low,13.02802395,32504,2
225,70,2015-01-01,67769,Medium,5.230007216,33120,0
226,70,2016-01-01,75437,High,11.31580937,24098,3
227,71,2015-01-01,84262,Low,6.866973283,32225,0
228,71,2016-01-01,95752,Low,13.63698407,19382,2
229,71,2016-12-31,104333,Medium,8.962407278,17326,0
230,72,2015-01-01,72295,Low,9.794720803,24760,1
231,72,2016-01-01,78328,High,8.345375818,38751,2
232,73,2015-01-01,60098,High,13.81010749,21896,1
233,73,2016-01-01,67754,High,12.74079484,35587,3
234,73,2016-12-31,76045,Medium,12.23730446,26177,3
235,73,2017-12-31,86614,Low,13.89891476,11616,2
236,74,2015-01-01,69225,Medium,6.10898068,28300,3
237,74,2016-01-01,74505,Medium,7.628366684,45540,1
238,75,2015-01-01,33397,High,11.04675992,30456,0
239,75,2016-01-01,35311,Medium,5.732308179,38439,3
240,76,2015-01-01,29019,High,7.467601977,45770,3
241,76,2016-01-01,32156,Low,10.81308264,11061,3
242,76,2016-12-31,35423,Medium,10.16101553,42605,2
243,77,2015-01-01,87481,Low,9.664383792,28859,0
244,77,2016-01-01,93413,Low,6.781556457,32648,1
245,77,2016-12-31,99982,Low,7.033134625,38693,0
246,78,2015-01-01,71950,Medium,11.4923084,10005,3
247,78,2016-01-01,81560,Low,13.35688006,46879,0
248,78,2016-12-31,87144,Medium,6.847536368,37058,1
249,78,2017-12-31,97291,Low,11.64396483,33380,1
250,79,2015-01-01,65167,Low,5.412946094,13808,0
251,79,2016-01-01,68494,Low,5.105863552,17167,0
252,79,2016-12-31,75969,Low,10.91473942,48583,2
253,79,2017-12-31,85533,Medium,12.59012145,19411,1
254,80,2015-01-01,43043,Medium,9.253414118,26461,0
255,80,2016-01-01,49046,High,13.94757197,48677,0
256,81,2015-01-01,60751,Low,13.90923211,42556,3
257,81,2016-01-01,68319,Medium,12.45825649,23009,2
258,81,2016-12-31,74866,High,9.583452927,38847,0
259,82,2015-01-01,40409,Low,9.234845073,35173,0
260,82,2016-01-01,44040,Low,8.986440391,14716,0
261,83,2015-01-01,38814,Low,9.940723594,21732,2
262,83,2016-01-01,44609,Low,14.93037016,33353,1
263,83,2016-12-31,50861,High,14.01709675,12901,3
264,83,2017-12-31,54092,Low,6.353300824,23184,2
265,84,2015-01-01,28038,Medium,5.056420013,23768,3
266,84,2016-01-01,30835,Medium,9.978564743,44847,3
267,84,2016-12-31,33885,Low,9.891903317,22746,3
268,85,2015-01-01,79348,Medium,13.01907649,44550,0
269,85,2016-01-01,90094,Medium,13.54350296,34778,1
270,85,2016-12-31,102724,Medium,14.0197107,20062,3
271,85,2017-12-31,114430,High,11.3958237,30680,3
272,86,2015-01-01,58791,High,7.851923945,18211,0
273,86,2016-01-01,63084,Medium,7.303835648,46966,1
274,87,2015-01-01,48105,Medium,6.165717331,14919,2
275,87,2016-01-01,54276,High,12.82971018,45364,3
276,87,2016-12-31,59838,High,10.24857403,39450,1
277,88,2015-01-01,57382,High,7.927621883,8012,1
278,88,2016-01-01,63308,High,10.32863167,22155,2
279,88,2016-12-31,68629,Low,8.405914079,31221,1
280,88,2017-12-31,76328,Medium,11.21832223,40875,1
281,89,2015-01-01,58514,Medium,14.88877147,19838,0
282,89,2016-01-01,65505,Medium,11.94925058,31243,2
283,90,2015-01-01,78049,High,11.90431619,26814,3
284,90,2016-01-01,82092,High,5.180790442,17143,2
285,90,2016-12-31,88266,Medium,7.521169395,15839,2
286,90,2017-12-31,95053,Low,7.689647327,21853,3
287,91,2015-01-01,65938,Low,5.256323726,43947,0
288,91,2016-01-01,71093,Medium,7.819104751,6345,1
289,91,2016-12-31,74986,High,5.476626762,6196,2
290,92,2015-01-01,56890,Medium,13.04042924,47818,2
291,92,2016-01-01,61134,Low,7.461344818,8910,3
292,93,2015-01-01,73132,Low,9.085281115,20970,1
293,93,2016-01-01,81464,Medium,11.39316597,31796,2
294,93,2016-12-31,90117,High,10.62220532,45578,2
295,94,2015-01-01,57102,Medium,11.34550793,19440,2
296,94,2016-01-01,61836,High,8.290972325,13869,3
297,94,2016-12-31,69316,Low,12.09757389,5365,0
298,95,2015-01-01,68066,Low,9.831013559,32353,3
299,95,2016-01-01,76136,Medium,11.85630888,19618,0
300,95,2016-12-31,86230,High,13.25834415,5103,2
301,96,2015-01-01,63432,Low,14.25808005,49007,2
302,96,2016-01-01,66784,Medium,5.285266594,17755,1
303,97,2015-01-01,61114,Low,6.001429506,24947,0
304,97,2016-01-01,68499,Medium,12.08488333,31756,0
305,97,2016-12-31,72195,Medium,5.396616806,12624,3
306,98,2015-01-01,64016,High,8.932877227,33424,3
307,98,2016-01-01,67654,High,5.683817646,37882,0
308,98,2016-12-31,75549,Low,11.67064044,44049,0
309,98,2017-12-31,82199,Low,8.802906452,36461,3
310,99,2015-01-01,58760,Medium,8.240462803,41360,1
311,99,2016-01-01,67553,Medium,14.96540244,10149,1
312,100,2015-01-01,61616,Medium,11.65436006,12966,0
313,100,2016-01-01,68301,Low,10.84969666,44036,1
314,101,2015-01-01,39116,High,8.135452625,26323,2
315,101,2016-01-01,43158,Low,10.33512677,45729,3
316,101,2016-12-31,47758,Low,10.66001459,42148,1
317,101,2017-12-31,53822,Medium,12.69786412,32069,3
318,102,2015-01-01,46933,Medium,12.54414562,11828,2
319,102,2016-01-01,49716,Low,5.930733198,49164,3
320,102,2016-12-31,52916,Low,6.438437168,34050,2
321,102,2017-12-31,57047,Low,7.806724321,28697,3
322,103,2015-01-01,48570,High,10.55623323,13606,3
323,103,2016-01-01,54749,Low,12.72348365,8526,1
324,103,2016-12-31,62502,High,14.16223936,44195,2
325,103,2017-12-31,69634,Medium,11.41172505,21014,2
326,104,2015-01-01,59147,High,6.404230086,49107,1
327,104,2016-01-01,64907,Low,9.738505336,24777,0
328,105,2015-01-01,44912,Low,12.03754702,6265,0
329,105,2016-01-01,51304,Low,14.23261024,42296,2
330,105,2016-12-31,56614,High,10.35010675,20972,0
331,105,2017-12-31,64704,Medium,14.28976631,38322,2
332,106,2015-01-01,48647,High,10.85779694,44764,1
333,106,2016-01-01,54482,Medium,11.99566801,21336,1
334,106,2016-12-31,58397,Medium,7.18693268,47113,0
335,107,2015-01-01,37050,Low,12.80778887,22742,0
336,107,2016-01-01,39612,High,6.916279212,6620,1
337,107,2016-12-31,44853,Medium,13.23285436,37227,2
338,108,2015-01-01,70859,High,6.66158795,6872,0
339,108,2016-01-01,76395,Medium,7.813976291,10539,3
340,108,2016-12-31,85406,High,11.79658286,19199,1
341,108,2017-12-31,96166,High,12.59950916,35769,0
342,109,2015-01-01,55455,Low,13.53730438,14892,0
343,109,2016-01-01,62581,Low,12.85118581,9706,1
344,110,2015-01-01,84410,Medium,6.194560233,29791,2
345,110,2016-01-01,91563,Medium,8.474321186,44502,2
346,110,2016-12-31,101466,Medium,10.81610827,38026,2
347,111,2015-01-01,25764,High,9.790256115,10389,1
348,111,2016-01-01,28807,Low,11.81346049,36144,0
349,111,2016-12-31,32843,High,14.01122692,20967,2
350,111,2017-12-31,34917,Medium,6.315601175,27664,0
351,112,2015-01-01,72748,High,11.57135036,44996,3
352,112,2016-01-01,78199,Low,7.493347132,27966,0
353,112,2016-12-31,84310,High,7.815693083,42006,3
354,113,2015-01-01,38638,Low,12.4375904,28513,1
355,113,2016-01-01,40861,Medium,5.754082962,11711,3
356,113,2016-12-31,43639,Low,6.799979632,46381,1
357,113,2017-12-31,47952,High,9.885336815,48504,3
358,114,2015-01-01,26316,High,12.77301097,24682,3
359,114,2016-01-01,28865,Medium,9.688061388,45014,2
360,115,2015-01-01,34539,High,10.62595657,27942,2
361,115,2016-01-01,37911,Low,9.763661394,43047,1
362,116,2015-01-01,29271,High,12.26341158,18960,0
363,116,2016-01-01,30915,Medium,5.618007586,29630,2
364,116,2016-12-31,34454,Low,11.44854678,40897,3
365,116,2017-12-31,38104,Medium,10.59673281,48692,2
366,117,2015-01-01,41067,Low,6.449466463,26402,1
367,117,2016-01-01,44156,Low,7.522678714,26252,1
368,117,2016-12-31,49292,Low,11.63281048,49495,1
369,117,2017-12-31,56299,Low,14.21595135,44653,0
370,118,2015-01-01,44161,Low,5.505588663,14864,2
371,118,2016-01-01,46742,Medium,5.845294391,20170,0
372,119,2015-01-01,63663,Low,14.6746884,5680,1
373,119,2016-01-01,67624,Low,6.222879864,39169,2
374,119,2016-12-31,73435,High,8.594217769,32063,0
375,119,2017-12-31,83508,High,13.71797609,41097,3
376,120,2015-01-01,57964,High,11.62424038,37445,1
377,120,2016-01-01,62301,Medium,7.483446067,15698,3
378,121,2015-01-01,26089,High,6.852907194,42740,1
379,121,2016-01-01,27988,Low,7.281964671,41104,1
380,121,2016-12-31,29684,Medium,6.061648086,45827,1
381,121,2017-12-31,33596,High,13.18157368,32496,2
382,122,2015-01-01,49143,Low,10.00118613,49575,2
383,122,2016-01-01,52888,Medium,7.620706443,47755,3
384,122,2016-12-31,56599,Medium,7.017591434,41142,3
385,123,2015-01-01,62549,Low,11.98683185,39794,3
386,123,2016-01-01,66320,Medium,6.029504523,12426,3
387,124,2015-01-01,53999,Low,7.984335555,22791,2
388,124,2016-01-01,58542,Low,8.41365415,33307,3
389,125,2015-01-01,70376,Low,14.89626918,31220,0
390,125,2016-01-01,76242,Medium,8.336528574,18944,2
391,126,2015-01-01,86431,Low,9.602754142,19487,3
392,126,2016-01-01,98291,Medium,13.72221836,48778,1
393,126,2016-12-31,107833,Medium,9.707996025,29608,3
394,126,2017-12-31,122536,High,13.63497384,43132,0
395,127,2015-01-01,23760,Low,5.43193547,17517,0
396,127,2016-01-01,26253,Medium,10.49504959,24490,0
397,127,2016-12-31,29040,Medium,10.61972992,46805,1
398,127,2017-12-31,32493,Medium,11.89173296,27107,2
399,128,2015-01-01,61706,High,7.088196248,40873,2
400,128,2016-01-01,68072,High,10.31758838,46625,3
401,128,2016-12-31,77017,High,13.14065682,26630,0
402,129,2015-01-01,25936,Medium,6.022331913,12888,1
403,129,2016-01-01,27550,Medium,6.226117591,47150,0
404,129,2016-12-31,29965,Low,8.76866353,44117,1
405,129,2017-12-31,33072,High,10.36973294,20711,2
406,130,2015-01-01,83259,Low,5.721258847,49604,3
407,130,2016-01-01,87719,High,5.357240749,26993,0
408,130,2016-12-31,94739,Medium,8.003506489,27004,3
409,130,2017-12-31,103448,Low,9.193399552,24496,1
410,131,2015-01-01,54105,High,14.54094811,26751,0
411,131,2016-01-01,59527,Medium,10.02301352,15695,1
412,131,2016-12-31,65039,Low,9.259815111,34386,3
413,132,2015-01-01,86020,High,8.022827084,33095,3
414,132,2016-01-01,93258,Low,8.415483574,30270,2
415,133,2015-01-01,80238,High,12.88357152,43507,1
416,133,2016-01-01,84826,Medium,5.71813264,40229,1
417,133,2016-12-31,89925,High,6.012250209,22658,1
418,134,2015-01-01,67939,Medium,10.9365403,25246,3
419,134,2016-01-01,74655,Low,9.886543305,14844,0
420,135,2015-01-01,53164,High,12.03316206,17061,3
421,135,2016-01-01,60144,Low,13.13065235,21566,3
422,136,2015-01-01,43342,Medium,10.14579334,45302,2
423,136,2016-01-01,46035,Low,6.214153191,49228,1
424,136,2016-12-31,52479,Low,13.99857193,17468,1
425,137,2015-01-01,41503,Medium,13.53207522,11466,1
426,137,2016-01-01,46780,Medium,12.7167189,34218,3
427,137,2016-12-31,53768,Low,14.93820414,9151,3
428,137,2017-12-31,59988,High,11.56891348,41712,0
429,138,2015-01-01,25457,High,10.99339727,39554,3
430,138,2016-01-01,28149,Medium,10.57720085,37877,2
431,138,2016-12-31,31869,Medium,13.21655896,48398,3
432,138,2017-12-31,36090,Low,13.2458615,6453,0
433,139,2015-01-01,77510,Low,7.659647052,29911,0
434,139,2016-01-01,85252,Medium,9.988878102,28688,2
435,139,2016-12-31,96891,Low,13.65253433,14073,1
436,140,2015-01-01,28466,Low,9.004490983,25842,1
437,140,2016-01-01,32176,Medium,13.03624799,24243,0
438,140,2016-12-31,36482,Medium,13.38424585,20455,0
439,140,2017-12-31,39557,High,8.429076177,16479,1
440,141,2015-01-01,48051,High,6.916474962,46025,1
441,141,2016-01-01,54277,High,12.95825519,22716,2
442,142,2015-01-01,45310,Low,13.28673803,29798,1
443,142,2016-01-01,51598,High,13.87882652,37112,0
444,142,2016-12-31,57388,High,11.22191085,12592,0
445,143,2015-01-01,59851,High,6.40338302,10493,2
446,143,2016-01-01,64990,Medium,8.586451844,14629,0
447,144,2015-01-01,28809,Low,12.52838671,33616,3
448,144,2016-01-01,30606,High,6.240134964,34016,2
449,144,2016-12-31,34123,Medium,11.49252812,37194,1
450,144,2017-12-31,36773,Low,7.767907994,14088,3
451,145,2015-01-01,86263,Medium,9.076478397,28737,2
452,145,2016-01-01,90636,Medium,5.069940391,38377,2
453,146,2015-01-01,84043,Low,11.98526861,26961,3
454,146,2016-01-01,88422,Low,5.210810995,7318,3
455,146,2016-12-31,96759,Low,9.429324041,42178,1
456,147,2015-01-01,37979,Low,14.05035201,42107,1
457,147,2016-01-01,41791,Medium,10.03962663,39106,3
458,148,2015-01-01,79330,Medium,7.769448097,15698,1
459,148,2016-01-01,84318,Low,6.288149793,19552,3
460,148,2016-12-31,90283,Low,7.075511357,14756,2
461,148,2017-12-31,99977,High,10.73746164,49452,2
462,149,2015-01-01,75233,Low,14.31182959,19412,2
463,149,2016-01-01,83345,Low,10.78300862,27772,3
464,149,2016-12-31,94554,Low,13.44954107,31550,2
465,149,2017-12-31,102215,Medium,8.103079374,13570,2
466,150,2015-01-01,86069,Medium,9.224131366,33994,2
467,150,2016-01-01,90467,High,5.110650479,39598,1
468,150,2016-12-31,95842,Medium,5.941743112,34560,1
469,150,2017-12-31,105999,Low,10.59838296,7098,3
470,151,2015-01-01,31006,Low,8.956703576,14678,1
471,151,2016-01-01,33149,Medium,6.914311656,7695,0
472,151,2016-12-31,36073,Low,8.821296334,12554,0
473,152,2015-01-01,54353,Low,12.14389945,40423,3
474,152,2016-01-01,62424,Low,14.84943021,19653,0
475,153,2015-01-01,65358,Medium,7.673334137,22277,2
476,153,2016-01-01,74796,High,14.44081858,27178,1
477,153,2016-12-31,78903,Low,5.492099701,43960,3
478,153,2017-12-31,84659,Medium,7.29589617,18218,2
479,154,2015-01-01,39476,Medium,13.58257247,35589,3
480,154,2016-01-01,42792,Low,8.400100937,36650,3
481,154,2016-12-31,48657,Medium,13.7068659,27707,3
482,154,2017-12-31,51646,High,6.144988196,5551,0
483,155,2015-01-01,70939,Medium,13.61702953,33382,3
484,155,2016-01-01,78123,Medium,10.12739553,31255,0
485,155,2016-12-31,89104,Low,14.05653996,8971,1
486,156,2015-01-01,45440,High,12.62904584,24730,2
487,156,2016-01-01,50941,High,12.10779225,34354,3
488,157,2015-01-01,48401,Low,14.32113287,18004,3
489,157,2016-01-01,51912,High,7.254722918,16385,0
490,157,2016-12-31,56368,High,8.584050655,14922,3
491,157,2017-12-31,63178,Low,12.08274594,28086,2
492,158,2015-01-01,54714,Medium,10.90720954,49728,1
493,158,2016-01-01,60258,Low,10.13447067,27657,0
494,158,2016-12-31,66908,Medium,11.03750185,19933,3
495,159,2015-01-01,68945,Low,8.355013037,12309,3
