employee_id,employee_code,age,gender,marital_status,education_level,education_field,hire_date,employment_type,business_travel,distance_from_home_km,work_location,department_id,job_role,job_level,manager_id,status
45,EMP00045,21,Female,Married,3,Life Sciences,2016-08-28 10:59:17,Full-time,Travel_Rarely,45,Hybrid,4,Software Engineer,2,4402.0,Active
46,EMP00046,45,Female,Divorced,2,Life Sciences,2015-06-19 09:45:41,Contract,Non-Travel,22,Hybrid,18,Data Analyst,2,4268.0,Attrited
47,EMP00047,27,Female,Married,3,HR,2020-03-01 10:57:34,Full-time,Non-Travel,13,Hybrid,19,Data Analyst,2,4424.0,Active
48,EMP00048,29,Male,Married,3,Technical,2018-12-06 18:50:16,Full-time,Travel_Rarely,37,Hybrid,18,Data Analyst,5,,Attrited
49,EMP00049,44,Female,Divorced,5,Life Sciences,2020-09-08 04:04:55,Full-time,Non-Travel,28,Office,14,Software Engineer,3,2756.0,Active
50,EMP00050,21,Male,Married,3,Medical,2021-03-30 03:42:47,Full-time,Travel_Rarely,14,Remote,8,Software Engineer,2,4703.0,Active
51,EMP00051,28,Male,Married,4,Technical,2012-01-16 14:23:16,Contract,Non-Travel,30,Office,5,HR Manager,3,1773.0,Active
52,EMP00052,44,Male,Married,3,Marketing,2011-10-21 11:46:48,Contract,Travel_Rarely,39,Hybrid,5,Data Analyst,1,1440.0,Attrited
53,EMP00053,31,Female,Married,4,Marketing,2010-02-12 14:47:07,Full-time,Non-Travel,5,Remote,8,HR Manager,2,4407.0,Active
54,EMP00054,37,Male,Divorced,1,Technical,2014-04-19 05:35:18,Contract,Non-Travel,12,Remote,11,Manager,3,3316.0,Active
55,EMP00055,28,Male,Single,5,HR,2017-09-16 18:00:59,Full-time,Non-Travel,35,Office,7,Manager,3,409.0,Active
56,EMP00056,55,Male,Single,4,Life Sciences,2012-05-12 03:14:43,Contract,Travel_Frequently,41,Office,13,Data Analyst,4,,Active
57,EMP00057,55,Female,Married,3,Life Sciences,2018-05-24 03:06:00,Full-time,Non-Travel,42,Hybrid,17,Sales Executive,3,4723.0,Active
58,EMP00058,53,Female,Married,5,Technical,2019-07-02 23:30:14,Contract,Travel_Rarely,1,Office,19,Manager,4,,Active
59,EMP00059,25,Female,Married,5,Medical,2022-07-28 04:12:03,Contract,Travel_Rarely,46,Hybrid,3,Sales Executive,3,2454.0,Active
60,EMP00060,59,Male,Single,4,HR,2018-04-02 10:18:44,Full-time,Travel_Frequently,1,Hybrid,2,HR Manager,3,1583.0,Active
61,EMP00061,48,Female,Married,4,Medical,2021-09-09 17:33:29,Full-time,Travel_Frequently,42,Hybrid,6,Data Analyst,1,1222.0,Active
62,EMP00062,27,Male,Divorced,2,Technical,2015-03-06 17:34:24,Full-time,Travel_Frequently,43,Remote,19,HR Manager,3,563.0,Attrited
63,EMP00063,29,Male,Divorced,2,Technical,2017-10-01 04:13:02,Full-time,Non-Travel,20,Remote,15,HR Manager,5,,Active
64,EMP00064,28,Female,Divorced,5,Medical,2014-10-22 01:14:22,Full-time,Non-Travel,34,Office,4,Software Engineer,5,,Active
65,EMP00065,32,Male,Single,2,Marketing,2010-08-18 21:27:28,Full-time,Travel_Rarely,34,Office,19,Data Analyst,5,,Active
66,EMP00066,54,Female,Married,3,Technical,2018-04-12 00:33:02,Full-time,Travel_Rarely,24,Remote,7,Software Engineer,1,2838.0,Attrited
67,EMP00067,53,Male,Married,1,HR,2013-03-20 11:57:59,Full-time,Non-Travel,28,Office,20,HR Manager,3,745.0,Active
68,EMP00068,43,Female,Married,5,Medical,2015-09-16 15:26:32,Full-time,Travel_Rarely,11,Hybrid,14,Sales Executive,1,370.0,Active
69,EMP00069,44,Male,Single,1,Marketing,2018-08-02 04:11:43,Full-time,Non-Travel,8,Hybrid,7,Data Analyst,3,2092.0,Attrited
70,EMP00070,57,Male,Single,2,Medical,2011-01-27 23:31:55,Full-time,Travel_Frequently,35,Remote,20,Data Analyst,4,,Attrited
71,EMP00071,55,Male,Single,4,Marketing,2019-03-10 10:33:11,Full-time,Non-Travel,41,Office,14,Manager,1,466.0,Attrited
72,EMP00072,42,Male,Single,5,Marketing,2012-11-05 09:34:29,Full-time,Non-Travel,16,Office,5,Sales Executive,5,,Active
73,EMP00073,47,Male,Divorced,2,HR,2022-12-05 08:34:42,Full-time,Non-Travel,16,Remote,15,Sales Executive,5,,Active
74,EMP00074,55,Female,Single,3,Technical,2022-06-18 00:52:17,Full-time,Travel_Rarely,42,Hybrid,12,HR Manager,5,,Attrited
75,EMP00075,21,Male,Single,5,Marketing,2021-08-05 23:43:41,Full-time,Non-Travel,6,Hybrid,17,HR Manager,3,4269.0,Active
76,EMP00076,55,Female,Single,5,Technical,2018-01-27 04:48:07,Full-time,Non-Travel,20,Office,5,HR Manager,3,236.0,Active
77,EMP00077,57,Female,Married,4,HR,2021-06-19 00:53:56,Contract,Non-Travel,11,Remote,19,Manager,1,3464.0,Active
78,EMP00078,34,Female,Married,5,Technical,2017-06-11 23:16:36,Full-time,Travel_Frequently,8,Remote,10,Sales Executive,2,1679.0,Active
79,EMP00079,23,Male,Married,4,Life Sciences,2017-03-17 23:22:48,Contract,Non-Travel,20,Hybrid,12,Software Engineer,3,4329.0,Active
80,EMP00080,21,Male,Divorced,2,Marketing,2015-06-07 23:30:48,Full-time,Non-Travel,32,Hybrid,2,Sales Executive,2,266.0,Attrited
81,EMP00081,25,Male,Divorced,3,HR,2021-08-08 23:29:27,Contract,Non-Travel,33,Office,17,Software Engineer,2,2405.0,Attrited
82,EMP00082,46,Female,Single,3,Medical,2020-06-22 14:58:23,Full-time,Travel_Rarely,6,Remote,5,Data Analyst,3,139.0,Active
83,EMP00083,34,Male,Married,5,HR,2019-05-30 13:58:35,Full-time,Travel_Frequently,28,Office,15,Software Engineer,1,4643.0,Active
84,EMP00084,59,Male,Divorced,5,Marketing,2010-08-15 15:09:53,Contract,Travel_Frequently,8,Office,20,Data Analyst,2,1366.0,Active
85,EMP00085,47,Female,Married,2,HR,2011-09-14 01:09:17,Full-time,Non-Travel,14,Remote,13,HR Manager,1,1953.0,Attrited
86,EMP00086,29,Female,Divorced,4,Medical,2014-10-12 19:08:02,Contract,Non-Travel,3,Remote,20,Sales Executive,1,73.0,Active
87,EMP00087,35,Female,Divorced,3,Life Sciences,2012-05-25 21:29:01,Full-time,Travel_Rarely,2,Hybrid,11,HR Manager,3,163.0,Active
88,EMP00088,35,Female,Single,4,Marketing,2019-08-16 03:53:59,Full-time,Non-Travel,22,Remote,18,Sales Executive,2,223.0,Active
89,EMP00089,46,Female,Single,2,Marketing,2013-01-05 02:40:12,Full-time,Travel_Rarely,33,Office,9,Software Engineer,1,185.0,Attrited
90,EMP00090,33,Female,Divorced,3,HR,2014-06-21 04:59:48,Contract,Non-Travel,43,Office,16,Sales Executive,2,95.0,Active
91,EMP00091,52,Male,Single,3,Technical,2017-11-01 13:07:34,Full-time,Travel_Rarely,21,Remote,15,Software Engineer,1,3873.0,Attrited
92,EMP00092,59,Female,Divorced,1,Technical,2017-07-10 07:33:17,Full-time,Travel_Frequently,6,Office,4,Sales Executive,3,684.0,Active
93,EMP00093,52,Male,Divorced,2,Medical,2015-08-22 14:23:51,Full-time,Non-Travel,40,Remote,12,Data Analyst,1,3381.0,Active
94,EMP00094,24,Male,Married,2,Life Sciences,2019-08-29 06:47:01,Contract,Travel_Rarely,7,Hybrid,13,Software Engineer,3,976.0,Attrited
95,EMP00095,50,Male,Single,1,Life Sciences,2019-05-20 07:34:54,Full-time,Travel_Rarely,6,Hybrid,9,HR Manager,3,3220.0,Active
96,EMP00096,57,Female,Single,4,HR,2016-12-12 08:22:12,Contract,Non-Travel,44,Remote,15,HR Manager,2,3694.0,Attrited
97,EMP00097,43,Male,Single,1,HR,2017-10-12 19:11:51,Full-time,Travel_Rarely,8,Office,18,HR Manager,2,2545.0,Attrited
98,EMP00098,59,Female,Married,2,Technical,2022-02-05 19:39:43,Full-time,Non-Travel,24,Remote,20,HR Manager,2,3233.0,Active
99,EMP00099,35,Female,Married,4,Life Sciences,2017-01-19 01:02:40,Full-time,Non-Travel,27,Remote,7,Data Analyst,4,,Active
100,EMP00100,49,Male,Married,3,Life Sciences,2011-10-15 07:18:08,Full-time,Travel_Rarely,28,Hybrid,12,Data Analyst,2,1461.0,Attrited
101,EMP00101,56,Female,Single,1,Life Sciences,2010-08-08 09:07:14,Full-time,Travel_Rarely,5,Remote,10,Manager,2,482.0,Attrited
102,EMP00102,33,Male,Single,4,Medical,2018-12-15 05:01:13,Full-time,Travel_Rarely,19,Hybrid,7,Manager,1,4211.0,Active
103,EMP00103,52,Male,Single,4,Medical,2020-05-01 11:25:00,Full-time,Travel_Frequently,9,Hybrid,14,Manager,4,,Active
104,EMP00104,27,Female,Married,4,HR,2014-01-23 11:35:07,Full-time,Non-Travel,25,Remote,15,Manager,4,,Active
105,EMP00105,42,Male,Married,1,Technical,2016-05-28 19:04:05,Full-time,Non-Travel,44,Remote,4,Sales Executive,1,3652.0,Active
106,EMP00106,48,Male,Divorced,3,Marketing,2016-03-29 14:22:13,Full-time,Travel_Frequently,47,Remote,8,Software Engineer,2,1175.0,Active
107,EMP00107,22,Male,Married,4,Technical,2010-04-27 12:28:04,Full-time,Travel_Frequently,45,Remote,19,HR Manager,5,,Attrited
108,EMP00108,26,Female,Divorced,1,Medical,2018-05-31 15:07:25,Full-time,Travel_Rarely,13,Hybrid,19,Sales Executive,3,4236.0,Active
109,EMP00109,48,Male,Single,2,Medical,2015-06-15 10:06:30,Full-time,Non-Travel,37,Remote,5,Data Analyst,4,,Active
110,EMP00110,48,Female,Married,1,HR,2014-07-11 03:45:08,Full-time,Travel_Frequently,2,Hybrid,3,HR Manager,1,490.0,Attrited
111,EMP00111,40,Female,Single,1,Marketing,2016-12-22 11:49:33,Contract,Travel_Frequently,40,Hybrid,10,Software Engineer,5,,Active
112,EMP00112,50,Male,Single,1,Life Sciences,2017-10-13 14:10:25,Full-time,Non-Travel,14,Office,15,Software Engineer,3,897.0,Attrited
113,EMP00113,31,Male,Single,4,Marketing,2012-02-29 00:28:51,Contract,Non-Travel,31,Hybrid,2,Data Analyst,5,,Active
114,EMP00114,48,Female,Single,1,Marketing,2018-10-20 08:12:16,Full-time,Non-Travel,6,Office,10,HR Manager,2,2343.0,Attrited
115,EMP00115,45,Female,Married,2,Marketing,2022-01-31 05:37:42,Contract,Travel_Rarely,25,Remote,16,Manager,1,2909.0,Active
116,EMP00116,59,Male,Single,4,HR,2022-06-21 14:01:48,Full-time,Travel_Frequently,39,Office,3,HR Manager,3,2719.0,Active
117,EMP00117,53,Male,Divorced,2,Medical,2019-05-27 15:31:47,Full-time,Travel_Rarely,46,Remote,7,HR Manager,3,3256.0,Active
118,EMP00118,21,Female,Married,5,Life Sciences,2010-05-20 03:43:40,Full-time,Non-Travel,31,Hybrid,19,Software Engineer,2,18.0,Active
119,EMP00119,47,Female,Single,1,Marketing,2020-08-01 22:16:35,Full-time,Non-Travel,38,Office,15,Data Analyst,2,3907.0,Active
120,EMP00120,33,Female,Married,4,Life Sciences,2022-03-25 01:34:26,Full-time,Travel_Frequently,16,Remote,12,HR Manager,2,4717.0,Active
121,EMP00121,23,Female,Divorced,4,Marketing,2015-10-30 05:43:35,Full-time,Travel_Rarely,27,Remote,2,Sales Executive,1,4739.0,Attrited
122,EMP00122,59,Female,Single,1,Medical,2012-03-24 03:06:27,Full-time,Travel_Rarely,30,Office,13,Sales Executive,4,,Active
123,EMP00123,26,Male,Divorced,3,Life Sciences,2019-05-02 06:11:51,Contract,Travel_Rarely,4,Office,20,Data Analyst,5,,Attrited
124,EMP00124,28,Female,Single,3,Technical,2019-01-17 13:43:20,Contract,Non-Travel,39,Remote,19,Manager,1,198.0,Active
125,EMP00125,47,Female,Divorced,2,Medical,2016-10-08 13:36:48,Full-time,Travel_Frequently,16,Remote,7,HR Manager,1,1266.0,Active
126,EMP00126,29,Male,Single,1,Life Sciences,2017-11-12 06:04:30,Full-time,Travel_Rarely,36,Hybrid,3,HR Manager,5,,Active
127,EMP00127,57,Male,Married,1,Marketing,2017-04-24 10:36:19,Contract,Non-Travel,7,Remote,6,Software Engineer,3,977.0,Active
128,EMP00128,53,Female,Single,5,Marketing,2018-10-31 07:15:17,Contract,Non-Travel,21,Office,1,HR Manager,5,,Active
129,EMP00129,44,Female,Married,3,Medical,2021-03-17 11:11:51,Full-time,Travel_Rarely,2,Remote,2,Manager,2,465.0,Active
130,EMP00130,35,Male,Single,3,Medical,2019-03-23 10:10:05,Full-time,Travel_Frequently,8,Remote,1,HR Manager,3,1028.0,Active
131,EMP00131,52,Female,Single,1,Marketing,2010-11-21 15:50:45,Full-time,Travel_Frequently,42,Office,4,HR Manager,1,1262.0,Active
132,EMP00132,52,Female,Divorced,2,Life Sciences,2017-06-10 00:14:51,Contract,Travel_Rarely,27,Hybrid,5,Software Engineer,5,,Active
133,EMP00133,44,Male,Divorced,1,Technical,2015-06-26 05:29:41,Full-time,Non-Travel,2,Remote,2,Sales Executive,1,2957.0,Attrited
134,EMP00134,32,Female,Divorced,2,HR,2019-04-09 21:26:01,Full-time,Non-Travel,6,Office,16,Sales Executive,1,2030.0,Active
135,EMP00135,59,Male,Single,3,Medical,2013-08-04 07:46:43,Full-time,Travel_Rarely,4,Office,8,Manager,5,,Attrited
136,EMP00136,22,Male,Single,5,Marketing,2016-01-18 12:02:16,Contract,Non-Travel,21,Office,15,Data Analyst,1,1818.0,Attrited
137,EMP00137,23,Male,Single,4,Life Sciences,2010-04-24 14:58:23,Full-time,Non-Travel,1,Office,11,Data Analyst,4,,Active
138,EMP00138,57,Male,Married,3,Medical,2014-10-16 04:55:09,Full-time,Travel_Rarely,38,Hybrid,10,Software Engineer,4,,Active
139,EMP00139,37,Female,Married,2,Life Sciences,2020-06-26 07:03:22,Full-time,Non-Travel,12,Office,3,HR Manager,1,3882.0,Active
140,EMP00140,22,Male,Single,1,Medical,2020-11-17 08:13:25,Contract,Travel_Rarely,27,Remote,11,Software Engineer,3,1762.0,Attrited
141,EMP00141,22,Female,Divorced,3,Marketing,2016-04-29 00:25:04,Full-time,Travel_Rarely,14,Hybrid,17,Sales Executive,3,1183.0,Active
142,EMP00142,48,Female,Divorced,5,Life Sciences,2010-04-18 07:26:09,Full-time,Travel_Rarely,15,Office,10,Manager,3,2091.0,Active
143,EMP00143,43,Female,Divorced,2,Marketing,2016-01-18 04:41:47,Full-time,Non-Travel,24,Remote,17,Data Analyst,3,1941.0,Active
144,EMP00144,57,Female,Single,1,Life Sciences,2018-02-02 21:10:50,Full-time,Travel_Rarely,18,Hybrid,14,HR Manager,4,,Active
145,EMP00145,52,Female,Divorced,4,Medical,2015-03-04 02:33:35,Full-time,Non-Travel,17,Remote,1,Data Analyst,3,413.0,Attrited
146,EMP00146,53,Male,Single,2,HR,2013-08-18 20:12:30,Full-time,Travel_Rarely,9,Hybrid,9,Sales Executive,5,,Active
147,EMP00147,21,Male,Married,1,HR,2021-05-13 02:54:56,Full-time,Travel_Frequently,47,Office,15,HR Manager,3,1104.0,Active
148,EMP00148,39,Male,Divorced,4,Technical,2014-11-29 22:23:42,Contract,Non-Travel,18,Remote,4,Sales Executive,5,,Active
149,EMP00149,22,Male,Married,1,Technical,2011-11-06 22:28:36,Full-time,Non-Travel,18,Office,20,Data Analyst,4,,Active
150,EMP00150,46,Female,Divorced,4,Marketing,2018-12-10 11:44:00,Full-time,Non-Travel,5,Hybrid,3,Data Analyst,5,,Attrited
151,EMP00151,52,Male,Single,4,Life Sciences,2017-02-20 02:41:32,Full-time,Travel_Frequently,48,Office,20,Sales Executive,5,,Attrited
152,EMP00152,26,Female,Single,4,Technical,2010-10-06 18:15:30,Full-time,Travel_Rarely,9,Office,7,HR Manager,1,4870.0,Attrited
153,EMP00153,52,Female,Single,1,Medical,2018-11-30 08:10:51,Full-time,Travel_Frequently,35,Remote,3,Sales Executive,5,,Attrited
154,EMP00154,24,Male,Single,4,HR,2015-05-07 10:46:19,Full-time,Travel_Rarely,44,Office,15,HR Manager,1,1151.0,Active
155,EMP00155,31,Male,Divorced,2,Life Sciences,2018-09-19 14:35:07,Full-time,Travel_Rarely,46,Office,10,Software Engineer,3,368.0,Active
156,EMP00156,37,Male,Married,5,HR,2015-04-19 19:59:34,Full-time,Travel_Rarely,1,Office,16,Software Engineer,5,,Active
157,EMP00157,58,Male,Single,5,Life Sciences,2010-05-02 10:40:36,Full-time,Travel_Rarely,41,Hybrid,17,HR Manager,5,,Active
158,EMP00158,44,Female,Divorced,4,Technical,2022-02-27 18:00:27,Full-time,Travel_Rarely,9,Remote,19,Sales Executive,2,77.0,Attrited
159,EMP00159,25,Female,Married,5,Technical,2016-03-17 01:51:26,Full-time,Travel_Frequently,32,Remote,1,HR Manager,3,2755.0,Active
160,EMP00160,54,Male,Single,5,Marketing,2015-05-13 13:12:25,Full-time,Non-Travel,20,Office,1,Data Analyst,5,,Active
161,EMP00161,26,Female,Married,4,Life Sciences,2020-03-02 19:32:55,Full-time,Travel_Frequently,13,Remote,14,Sales Executive,5,,Active
162,EMP00162,42,Female,Single,4,Medical,2022-11-15 10:48:42,Full-time,Non-Travel,40,Hybrid,2,HR Manager,2,1052.0,Active
163,EMP00163,31,Female,Married,2,Technical,2018-04-03 13:49:33,Full-time,Non-Travel,11,Hybrid,2,Data Analyst,1,2984.0,Active
164,EMP00164,36,Male,Married,3,Marketing,2011-01-02 06:45:48,Full-time,Non-Travel,46,Office,20,Manager,3,2105.0,Active
165,EMP00165,53,Female,Single,1,Technical,2012-07-20 00:50:32,Full-time,Travel_Frequently,48,Office,10,Data Analyst,2,1227.0,Active
166,EMP00166,29,Male,Divorced,4,HR,2017-08-14 13:24:06,Contract,Travel_Rarely,43,Hybrid,15,HR Manager,3,4663.0,Active
167,EMP00167,26,Male,Married,4,Technical,2011-01-24 09:38:20,Full-time,Travel_Rarely,42,Hybrid,15,Sales Executive,3,3155.0,Attrited
168,EMP00168,36,Female,Single,5,Life Sciences,2011-10-31 19:04:18,Full-time,Non-Travel,26,Hybrid,7,Sales Executive,1,1275.0,Active
169,EMP00169,49,Female,Married,2,Marketing,2016-03-21 03:37:15,Contract,Travel_Rarely,40,Office,8,Software Engineer,1,2390.0,Attrited
170,EMP00170,23,Male,Married,5,Life Sciences,2020-02-03 01:12:50,Full-time,Travel_Rarely,11,Hybrid,11,HR Manager,4,,Active
171,EMP00171,40,Female,Divorced,4,Medical,2010-08-16 14:33:29,Full-time,Travel_Frequently,25,Office,16,Data Analyst,2,872.0,Active
172,EMP00172,56,Female,Married,4,Medical,2012-02-17 11:42:27,Contract,Travel_Rarely,40,Hybrid,7,Data Analyst,2,1962.0,Active
173,EMP00173,39,Male,Married,5,Technical,2021-06-16 06:13:22,Full-time,Travel_Rarely,25,Hybrid,20,HR Manager,3,2181.0,Active
174,EMP00174,46,Male,Single,4,Marketing,2014-08-12 13:04:37,Full-time,Travel_Frequently,20,Remote,9,Data Analyst,4,,Active
175,EMP00175,23,Male,Single,3,Marketing,2019-06-11 09:24:52,Full-time,Travel_Rarely,42,Hybrid,19,Manager,4,,Active
176,EMP00176,39,Male,Divorced,1,Marketing,2016-01-12 15:40:08,Full-time,Non-Travel,49,Office,1,Software Engineer,3,1568.0,Attrited
177,EMP00177,40,Female,Married,1,Marketing,2019-03-11 06:56:40,Full-time,Travel_Frequently,11,Hybrid,18,Sales Executive,1,2316.0,Active
178,EMP00178,52,Female,Married,1,Technical,2019-08-11 05:48:18,Full-time,Travel_Rarely,44,Remote,8,Data Analyst,4,,Attrited
179,EMP00179,27,Male,Married,3,Life Sciences,2019-05-22 04:30:20,Full-time,Travel_Rarely,10,Hybrid,8,Manager,2,4162.0,Active
180,EMP00180,53,Male,Divorced,4,Technical,2019-10-13 23:04:08,Full-time,Travel_Frequently,49,Hybrid,8,HR Manager,1,1076.0,Attrited
181,EMP00181,59,Male,Married,5,Life Sciences,2019-06-08 23:08:18,Full-time,Non-Travel,3,Hybrid,14,Data Analyst,5,,Attrited
182,EMP00182,38,Female,Single,2,HR,2016-11-07 05:46:59,Contract,Travel_Frequently,39,Office,2,HR Manager,4,,Active
183,EMP00183,21,Male,Divorced,4,HR,2014-12-02 01:16:36,Full-time,Non-Travel,27,Hybrid,3,Manager,3,4825.0,Active
184,EMP00184,31,Female,Single,3,Life Sciences,2022-03-10 18:19:55,Full-time,Travel_Frequently,35,Hybrid,7,Manager,2,2735.0,Active
185,EMP00185,48,Male,Single,3,Technical,2014-06-12 07:42:48,Full-time,Travel_Rarely,49,Hybrid,3,Sales Executive,4,,Attrited
186,EMP00186,45,Male,Divorced,1,Medical,2012-08-24 18:03:42,Full-time,Travel_Frequently,40,Remote,15,HR Manager,3,3863.0,Active
187,EMP00187,43,Male,Single,4,Technical,2018-01-07 12:48:49,Full-time,Travel_Frequently,31,Office,11,Software Engineer,2,3565.0,Active
188,EMP00188,51,Female,Married,1,Medical,2015-11-22 22:14:59,Full-time,Non-Travel,21,Office,2,Sales Executive,4,,Active
189,EMP00189,50,Female,Divorced,2,Technical,2017-05-04 05:06:17,Full-time,Travel_Frequently,22,Remote,18,HR Manager,2,2569.0,Attrited
190,EMP00190,55,Female,Single,1,Marketing,2016-09-29 12:15:13,Contract,Non-Travel,19,Office,14,HR Manager,5,,Active
